CID,Name,Credits,Description,Prerequisites,Category,Tag,Eclass,Prerequisites
COMP 662, Scientific Computation II, 3 Credits,"Theory and practical issues arising in linear algebra problems derived from physical applications, e.g., discretization of ODEs and PDEs.Linear systems, linear least squares, eigenvalue problems, singular value decomposition. ",MATH 661,"Graphics, AI",,37,45
COMP 665," Images, Graphics, and Vision", 3 Credits,"Required preparation, a first course in data structures and a first course in discrete mathematics (e.g., COMP 410 and MATH 383). Displaydevices and procedures. Scan conversion. Matrix algebra supporting viewing transformations in computer graphics. Basic differentialgeometry. Coordinate systems, Fourier analysis, FDFT algorithm. Human visual system, psychophysics, scale in vision."," COMP 410, MATH 383",Graphics,,38,"5, 42"
MATH 231,Calculus of Functions of One Variable I, 3 Credits,"Limits, derivatives, and integrals of functions of one variable. Students may not receive credit for both_MATH_231_and_MATH_241.",,NA,,39,0
MATH 233,Calculus of Functions of Several Variables, 3 Credits,"Vector algebra, solid analytic geometry, partial derivatives, multiple integrals. Honors version available",,NA,,40,0
MATH 381,Discrete Mathematics, 3 Credits,"This course serves as a transition from computational to more theoretical mathematics. Topics are from the foundations of mathematics: logic, set theory, relations and functions, induction, permutations and combinations, recurrence.",,NA,,3,0
MATH 383,First Course in Differential Equations, 3 Credits,"Introductory ordinary differential equations, first- and second-order differential equations with applications, higher-order linear equations, systems of first-order linear equations (introducing linear algebra as needed). Honors version available",,NA,,42,0
MATH 535,Introduction to Probability, 3 Credits,"Introduction to mathematical theory of probability covering random variables; moments; binomial, Poisson, normal and related distributions; generating functions; sums and sequences of random variables; and statistical applications.",,NA,,43,0
MATH 547,Linear Algebra for Applications, 3 Credits,"Algebra of matrices with applications: determinants, solution of linear systems by Gaussian elimination, Gram-Schmidt procedure, eigenvalues.",,NA,,44,0
MATH 577,Linear Algebra, 3 Credits,"Vector spaces, linear transformations, duality, diagonalization, primary and cyclic decomposition, Jordan canonical form, inner product spaces, orthogonal reduction of symmetric matrices, spectral theorem, bilinear forms, multilinear functions.",,NA,,44,0
MATH 661,Scientific Computation I, 3 Credits,"Requires some programming experience and basic numerical analysis. Error in computation, solutions of nonlinear equations, interpolation, approximation of functions, Fourier methods, numerical integration and differentiation, introduction to numerical solution of ODEs, Gaussian elimination.",,NA,,45,0
STOR 435,Introduction to Probability, 3 Credits,"Introduction to mathematical theory of probability covering random variables; moments; binomial, Poisson, normal and related distributions; generating functions; sums and sequences of random variables; and statistical applications.",MATH 233,NA,,43,0
